frame,stamp,vertex_before,vertex_after,decision,inside,iou,rel_dist,localization_stamp,matched_count,unmatched_count,new_vertex_id,edge_events
1,1517156141.444385767,-1,0,FIRST_VERTEX,NA,-1.000000,0.0000,0.000000,0,0,0,
2,1517156141.844400406,0,0,KEEP,true,0.995571,0.0003,0.000000,0,0,,
3,1517156142.244458199,0,0,KEEP,true,0.997950,0.0004,0.000000,0,0,,
4,1517156142.644421577,0,0,KEEP,true,0.994891,0.0001,0.000000,0,0,,
5,1517156143.044110537,0,0,KEEP,true,0.995232,0.0002,0.000000,0,0,,
6,1517156143.344231606,0,0,KEEP,true,0.998632,0.0003,0.000000,0,0,,
7,1517156143.744285345,0,0,KEEP,true,0.995232,0.0009,0.000000,0,0,,
8,1517156144.143952131,0,0,KEEP,true,0.991851,0.0006,0.000000,0,0,,
9,1517156144.444546461,0,0,KEEP,true,0.991174,0.0002,0.000000,0,0,,
10,1517156144.843421221,0,0,KEEP,true,0.991177,0.0010,0.000000,0,0,,
11,1517156145.143921137,0,0,KEEP,true,0.990169,0.0011,0.000000,0,0,,
12,1517156145.543850183,0,0,KEEP,true,0.994552,0.0002,0.000000,0,0,,
13,1517156145.844163656,0,0,KEEP,true,0.989837,0.0002,0.000000,0,0,,
14,1517156146.244239807,0,0,KEEP,true,0.995230,0.0002,0.000000,0,0,,
15,1517156146.643720865,0,0,KEEP,true,0.990169,0.0001,0.000000,0,0,,
16,1517156147.044152260,0,0,KEEP,true,0.998292,0.0006,0.000000,0,0,,
17,1517156147.443952560,0,0,KEEP,true,0.994889,0.0007,0.000000,0,0,,
18,1517156147.844178915,0,0,KEEP,true,0.997952,0.0009,0.000000,0,0,,
19,1517156148.244142532,0,0,KEEP,true,0.990841,0.0013,0.000000,0,0,,
20,1517156148.643810749,0,0,KEEP,true,0.994552,0.0003,0.000000,0,0,,
21,1517156149.043986320,0,0,KEEP,true,0.994889,0.0005,0.000000,0,0,,
22,1517156149.444033623,0,0,KEEP,true,0.988160,0.0003,0.000000,0,0,,
23,1517156149.843700886,0,0,KEEP,true,0.995571,0.0008,0.000000,0,0,,
24,1517156150.244019032,0,0,KEEP,true,0.988494,0.0012,0.000000,0,0,,
25,1517156150.643763542,0,0,KEEP,true,0.995909,0.0012,0.000000,0,0,,
26,1517156151.043734312,0,0,KEEP,true,0.993197,0.0014,0.000000,0,0,,
27,1517156151.443657398,0,0,KEEP,true,0.987500,0.0012,0.000000,0,0,,
28,1517156151.744043827,0,0,KEEP,true,0.997269,0.0009,0.000000,0,0,,
29,1517156152.143793344,0,0,KEEP,true,0.990841,0.0011,0.000000,0,0,,
30,1517156152.543835640,0,0,KEEP,true,0.990502,0.0016,0.000000,0,0,,
31,1517156152.943542004,0,0,KEEP,true,0.994552,0.0025,0.000000,0,0,,
32,1517156153.244175196,0,0,KEEP,true,0.998632,0.0016,0.000000,0,0,,
33,1517156153.644001245,0,0,KEEP,true,0.995569,0.0016,0.000000,0,0,,
34,1517156154.043939114,0,0,KEEP,true,0.989492,0.0023,0.000000,0,0,,
35,1517156154.442842722,0,0,KEEP,true,0.987487,0.0010,0.000000,0,0,,
36,1517156154.743449688,0,0,KEEP,true,0.990502,0.0008,0.000000,0,0,,
37,1517156155.043798923,0,0,KEEP,true,0.983367,0.0011,0.000000,0,0,,
38,1517156155.443781853,0,0,KEEP,true,0.980485,0.0034,0.000000,0,0,,
39,1517156155.843754530,0,0,KEEP,true,0.993869,0.0048,0.000000,0,0,,
40,1517156156.243739843,0,0,KEEP,true,0.991502,0.0068,0.000000,0,0,,
41,1517156156.643401623,0,0,KEEP,true,0.994886,0.0060,0.000000,0,0,,
42,1517156157.043624163,0,0,KEEP,true,0.993865,0.0060,0.000000,0,0,,
43,1517156157.443737030,0,0,KEEP,true,0.989817,0.0049,0.000000,0,0,,
44,1517156157.843189716,0,0,KEEP,true,0.994206,0.0051,0.000000,0,0,,
45,1517156158.243204355,0,0,KEEP,true,0.995222,0.0045,0.000000,0,0,,
46,1517156158.543636084,0,0,KEEP,true,0.996922,0.0042,0.000000,0,0,,
47,1517156158.943599463,0,0,KEEP,true,0.993190,0.0036,0.000000,0,0,,
48,1517156159.342679977,0,0,KEEP,true,0.992174,0.0043,0.000000,0,0,,
49,1517156159.642963409,0,0,KEEP,true,0.976988,0.0053,0.000000,0,0,,
50,1517156159.943486929,0,0,KEEP,true,0.970030,0.0292,0.000000,0,0,,
51,1517156160.343574524,0,0,KEEP,true,0.937642,0.1428,0.000000,0,0,,
52,1517156160.743265867,0,0,KEEP,true,0.936352,0.3240,0.000000,0,0,,
53,1517156161.143485069,0,0,KEEP,true,0.895537,0.5120,0.000000,0,0,,
54,1517156161.543269396,0,0,KEEP,true,0.888680,0.7022,0.000000,0,0,,
55,1517156161.943322659,0,0,KEEP,true,0.878882,0.8940,0.000000,0,0,,
56,1517156162.343450785,0,0,KEEP,true,0.874303,1.0831,0.000000,0,0,,
57,1517156162.743253231,0,0,KEEP,true,0.839628,1.2719,0.000000,0,0,,
58,1517156163.143260479,0,0,KEEP,true,0.802597,1.4613,0.000000,0,0,,
59,1517156163.542401314,0,0,KEEP,true,0.797446,1.6435,0.000000,0,0,,
60,1517156163.843120098,0,0,KEEP,true,0.796139,1.6486,0.000000,0,0,,
61,1517156164.143542051,0,0,KEEP,true,0.797661,1.6468,0.000000,0,0,,
62,1517156164.542361498,0,0,KEEP,true,0.781305,1.6414,0.000000,0,0,,
63,1517156164.842773676,0,0,KEEP,true,0.771338,1.7094,0.000000,0,0,,
64,1517156165.243082047,0,0,KEEP,true,0.776535,1.8930,0.000000,0,0,,
65,1517156165.643302202,0,0,KEEP,true,0.774507,2.0730,0.000000,0,0,,
66,1517156166.042395115,0,0,KEEP,true,0.769886,2.2566,0.000000,0,0,,
67,1517156166.342909336,0,0,KEEP,true,0.766800,2.3935,0.000000,0,0,,
68,1517156166.742242336,0,0,KEEP,true,0.717928,2.5749,0.000000,0,0,,
69,1517156167.042839289,0,0,KEEP,true,0.702631,2.7143,0.000000,0,0,,
70,1517156167.443014145,0,0,KEEP,true,0.670508,2.9049,0.000000,0,0,,
71,1517156167.842686653,0,0,KEEP,true,0.681770,3.0753,0.000000,0,0,,
72,1517156168.142942190,0,0,KEEP,true,0.676478,3.2104,0.000000,0,0,,
73,1517156168.542842865,0,0,KEEP,true,0.661575,3.3870,0.000000,0,0,,
74,1517156168.942249060,0,0,KEEP,true,0.650210,3.5699,0.000000,0,0,,
75,1517156169.242905378,0,0,KEEP,true,0.655634,3.7081,0.000000,0,0,,
76,1517156169.642599106,0,0,KEEP,true,0.638146,3.8711,0.000000,0,0,,
77,1517156170.043844938,0,0,KEEP,true,0.657429,4.0430,0.000000,0,0,,
78,1517156170.442709208,0,0,KEEP,true,0.664463,4.2295,0.000000,0,0,,
79,1517156170.842542171,0,0,KEEP,true,0.646795,4.4199,0.000000,0,0,,
80,1517156171.242882729,0,0,KEEP,true,0.627410,4.6166,0.000000,0,0,,
81,1517156171.642721891,0,0,KEEP,true,0.594466,4.8116,0.000000,0,0,,
82,1517156172.042562008,0,1,NEW_VERTEX,true,0.637101,0.0000,0.000000,0,0,1,SEQUENTIAL:0->1:ADDED
83,1517156172.442714214,1,1,KEEP,true,0.912559,0.1885,0.000000,0,0,,
84,1517156172.842941046,1,1,KEEP,true,0.884083,0.3775,1517156172.442714,0,1,,
85,1517156173.242583513,1,1,KEEP,true,0.867735,0.5683,1517156172.842941,0,1,,
86,1517156173.542836189,1,1,KEEP,true,0.831064,0.7081,1517156173.242584,0,1,,
87,1517156173.843755722,1,1,KEEP,true,0.827740,0.8470,1517156173.242584,0,1,,
88,1517156174.242617369,1,1,KEEP,true,0.806355,1.0362,1517156173.843756,0,1,,
89,1517156174.544589758,1,1,KEEP,true,0.820520,1.1773,1517156174.242617,0,1,,
90,1517156174.942605257,1,1,KEEP,true,0.780000,1.3656,1517156174.242617,0,1,,
91,1517156175.342364311,1,1,KEEP,true,0.792113,1.5616,1517156174.942605,1,0,,
92,1517156175.742347479,1,1,KEEP,true,0.785618,1.7526,1517156175.342364,0,1,,
93,1517156176.042807102,1,1,KEEP,true,0.793199,1.8916,1517156175.742347,0,1,,
94,1517156176.442662954,1,1,KEEP,true,0.748758,2.0828,1517156175.742347,0,1,,
95,1517156176.842440605,1,1,KEEP,true,0.706439,2.2762,1517156176.442663,1,0,,
96,1517156177.142710686,1,1,KEEP,true,0.676251,2.4192,1517156176.842441,1,0,,
97,1517156177.542100906,1,1,KEEP,true,0.691345,2.8196,1517156177.142711,0,1,,
98,1517156177.942200422,1,1,KEEP,true,0.428323,3.6106,1517156177.142711,0,1,,
99,1517156178.242539883,1,1,KEEP,true,0.401891,4.0411,1517156177.942200,0,1,,
100,1517156178.642518520,1,1,KEEP,true,0.371823,4.1703,1517156178.242540,1,0,,
101,1517156179.042537928,1,1,KEEP,true,0.359188,4.1705,1517156178.642519,0,1,,
102,1517156179.442203045,1,1,KEEP,true,0.359325,4.1696,1517156178.642519,0,1,,
103,1517156179.842067957,1,1,KEEP,true,0.326288,4.2498,1517156179.442203,0,1,,
104,1517156180.242151260,1,1,KEEP,true,0.590932,4.5694,1517156179.842068,0,1,,
105,1517156180.642200470,1,1,KEEP,true,0.558643,4.9778,1517156180.242151,0,1,,
106,1517156181.042201281,1,2,NEW_VERTEX,true,0.610981,0.0000,1517156180.642200,0,1,2,SEQUENTIAL:1->2:ADDED
107,1517156181.442069530,2,2,KEEP,true,0.751332,0.4446,1517156180.642200,0,1,,
108,1517156181.842389107,2,2,KEEP,true,0.634333,0.9221,1517156181.442070,2,0,,
109,1517156182.241535187,2,2,KEEP,true,0.589235,1.0819,1517156181.842389,0,2,,
110,1517156182.542008400,2,2,KEEP,true,0.549204,1.1670,1517156182.241535,0,2,,
111,1517156182.941957235,2,2,KEEP,true,0.554608,1.3219,1517156182.241535,0,2,,
112,1517156183.341994762,2,2,KEEP,true,0.558321,1.5298,1517156182.941957,1,1,,
113,1517156183.742334604,2,2,KEEP,true,0.558442,1.7392,1517156183.341995,1,1,,
114,1517156184.142365217,2,2,KEEP,true,0.509418,1.9721,1517156183.742335,0,2,,
115,1517156184.541704178,2,2,KEEP,true,0.410968,2.1892,1517156184.142365,0,2,,
116,1517156184.842237234,2,2,KEEP,true,0.300530,2.3200,1517156184.142365,0,2,,
117,1517156185.241939783,2,3,NEW_VERTEX,true,0.166583,0.0000,1517156184.842237,0,2,3,SEQUENTIAL:2->3:ADDED
118,1517156185.642874956,3,3,KEEP,true,0.519204,0.2909,1517156185.241940,0,3,,
119,1517156186.041385174,3,3,KEEP,true,0.423113,0.5806,1517156185.642875,0,3,,
120,1517156186.341633081,3,3,KEEP,true,0.403208,0.8058,1517156185.642875,0,3,,
121,1517156186.642149448,3,3,KEEP,true,0.391681,1.0214,1517156186.341633,0,3,,
122,1517156187.042144537,3,3,KEEP,true,0.402182,1.2875,1517156186.642149,0,3,,
123,1517156187.442017317,3,3,KEEP,true,0.379622,1.4979,1517156186.642149,0,3,,
124,1517156187.841893911,3,3,KEEP,true,0.335450,1.6717,1517156187.442017,0,3,,
125,1517156188.241696835,3,4,NEW_VERTEX,true,0.249067,0.0000,1517156187.841894,0,3,4,SEQUENTIAL:3->4:ADDED
126,1517156188.641621590,4,4,KEEP,true,0.873930,0.0395,1517156188.241697,0,4,,
127,1517156189.041307926,4,4,KEEP,true,0.864414,0.0578,1517156188.641622,0,4,,
128,1517156189.441717863,4,4,KEEP,true,0.858286,0.0592,1517156188.641622,0,4,,
129,1517156189.742702007,4,4,KEEP,true,0.856090,0.0637,1517156189.441718,1,3,,
130,1517156190.141112328,4,4,KEEP,true,0.855482,0.0661,1517156189.742702,0,4,,
131,1517156190.441289902,4,4,KEEP,true,0.859528,0.0667,1517156189.742702,0,4,,
132,1517156190.741807938,4,4,KEEP,true,0.833294,0.1312,1517156190.441290,0,4,,
133,1517156191.141995668,4,4,KEEP,true,0.730196,0.2653,1517156190.741808,0,4,,
134,1517156191.541694880,4,4,KEEP,true,0.678669,0.3634,1517156191.141996,0,4,,
135,1517156191.941512108,4,4,KEEP,true,0.516814,0.5047,1517156191.141996,0,4,,
136,1517156192.241877317,4,4,KEEP,true,0.443028,0.6479,1517156191.941512,0,4,,
137,1517156192.640820980,4,4,KEEP,true,0.374385,0.7765,1517156192.241877,0,4,,
138,1517156192.941340208,4,4,KEEP,true,0.372720,0.8715,1517156192.241877,0,4,,
139,1517156193.341713428,4,4,KEEP,true,0.367433,0.9946,1517156192.941340,0,4,,
140,1517156193.741806507,4,4,KEEP,true,0.355981,1.1054,1517156193.341713,0,4,,
141,1517156194.140964270,4,4,KEEP,true,0.355557,1.3098,1517156193.741807,0,4,,
142,1517156194.441492558,4,4,KEEP,true,0.321710,1.5197,1517156193.741807,0,4,,
143,1517156194.841563702,4,4,KEEP,true,0.337833,1.7616,1517156194.441493,0,4,,
144,1517156195.240665913,4,4,KEEP,true,0.341400,1.9969,1517156194.841564,0,4,,
145,1517156195.541669130,4,4,KEEP,true,0.339029,2.1354,1517156195.240666,0,4,,
146,1517156195.940649033,4,4,KEEP,true,0.329627,2.2850,1517156195.240666,0,4,,
147,1517156196.241319895,4,5,NEW_VERTEX,true,0.284051,0.0000,1517156195.940649,0,4,5,SEQUENTIAL:4->5:ADDED
148,1517156196.541426420,5,5,KEEP,true,0.788260,0.2835,1517156196.241320,0,5,,
149,1517156196.941506863,5,5,KEEP,true,0.682287,0.6359,1517156196.241320,0,5,,
150,1517156197.341275930,5,5,KEEP,true,0.620032,1.0020,1517156196.941507,0,5,,
151,1517156197.741720915,5,5,KEEP,true,0.535164,1.4816,1517156197.341276,0,5,,
152,1517156198.141529083,5,5,KEEP,true,0.512308,1.9174,1517156197.741721,0,5,,
153,1517156198.540590763,5,5,KEEP,true,0.498478,2.3733,1517156198.141529,0,5,,
154,1517156198.840935946,5,5,KEEP,true,0.501505,2.7397,1517156198.141529,0,5,,
155,1517156199.141246319,5,5,KEEP,true,0.501478,3.1321,1517156198.840936,0,5,,
